,country,Year,Poverty rate (no unit),GDP per hours worked (USD/hour),Income Inequality (no unit),Employment Rate (no unit),Hours worked per year (hours/year),Average Wage (USD)
365,NOR,1986,NaN,51.225244,NaN,NaN,1538.2,NaN
366,NOR,1987,NaN,51.977196,NaN,NaN,1510.7,NaN
367,NOR,1988,NaN,52.022856,NaN,NaN,1513.3,NaN
368,NOR,1989,NaN,54.207718,NaN,NaN,1510.4,NaN
369,NOR,1990,NaN,56.032463,NaN,NaN,1502.6,31942.0085200497
370,NOR,1991,NaN,58.410551,NaN,NaN,1500.3,32295.582439097
371,NOR,1992,NaN,60.239324,NaN,NaN,1510.1,32708.3086325373
372,NOR,1993,NaN,61.608354,NaN,NaN,1506.8,33020.3231683716
373,NOR,1994,NaN,63.906557,NaN,NaN,1505.0,33693.4446408698
374,NOR,1995,NaN,65.901469,NaN,NaN,1487.8,34008.1116773249
375,NOR,1996,NaN,68.038502,NaN,NaN,1482.6,35022.9778063945
376,NOR,1997,NaN,69.78884,NaN,NaN,1477.6,35800.6607228073
377,NOR,1998,NaN,69.842737,NaN,NaN,1475.5,37113.1920828553
378,NOR,1999,NaN,70.656951,NaN,NaN,1474.4,38305.8466480395
379,NOR,2000,NaN,73.356584,NaN,77.5,1456.6,38647.3115405666
380,NOR,2001,NaN,76.081539,NaN,77.175,1424.1,39589.4962708671
381,NOR,2002,NaN,77.771226,NaN,76.825,1406.7,41235.5600866555
382,NOR,2003,NaN,80.26877,NaN,75.5,1389.7,41789.0034194485
383,NOR,2005,NaN,82.750646,NaN,74.825,1405.9,44438.1478169816
384,NOR,2006,NaN,82.157474,NaN,75.375,1399.3,46254.7534029092
385,NOR,2007,NaN,80.742255,NaN,76.825,1405.6,48334.8041381789
386,NOR,2020,NaN,83.179198,NaN,74.65,1368.7,55779.8295229485
387,CHE,1970,NaN,40.913565,NaN,NaN,NaN,NaN
388,CHE,1971,NaN,42.047201,NaN,NaN,NaN,NaN
389,CHE,1972,NaN,43.313555,NaN,NaN,NaN,NaN
390,CHE,1973,NaN,44.806971,NaN,NaN,NaN,NaN
391,CHE,1974,NaN,46.183334,NaN,NaN,NaN,NaN
392,CHE,1975,NaN,45.177652,NaN,NaN,NaN,NaN
393,CHE,1976,NaN,45.954877,NaN,NaN,NaN,NaN
394,CHE,1977,NaN,47.538201,NaN,NaN,NaN,NaN
395,CHE,1978,NaN,47.630376,NaN,NaN,NaN,NaN
396,CHE,1979,NaN,48.633552,NaN,NaN,NaN,NaN
397,CHE,1980,NaN,50.123561,NaN,NaN,NaN,NaN
398,CHE,1981,NaN,50.292491,NaN,NaN,NaN,NaN
399,CHE,1982,NaN,49.69234,NaN,NaN,NaN,NaN
400,CHE,1983,NaN,50.425183,NaN,NaN,NaN,NaN
401,CHE,1984,NaN,51.999602,NaN,NaN,NaN,NaN
402,CHE,1985,NaN,53.037461,NaN,NaN,NaN,NaN
403,CHE,1986,NaN,53.08242,NaN,NaN,NaN,NaN
404,CHE,1987,NaN,52.666086,NaN,NaN,NaN,NaN
405,CHE,1988,NaN,53.028336,NaN,NaN,NaN,NaN
406,CHE,1989,NaN,54.349299,NaN,NaN,NaN,NaN
407,CHE,1990,NaN,54.921784,NaN,NaN,NaN,51286.5656342596
408,CHE,1991,NaN,53.509477,NaN,NaN,1718.1,52252.1083464598
409,CHE,1992,NaN,53.983038,NaN,NaN,1725.4,52724.1076032187
410,CHE,1993,NaN,54.477362,NaN,NaN,1720.4,53260.3533502825
411,CHE,1994,NaN,54.858899,NaN,NaN,1739.7,53951.71615544
412,CHE,1995,NaN,55.837572,NaN,NaN,1720.3,54384.782863209
413,CHE,1996,NaN,57.046066,NaN,NaN,1696.9,53580.6349654109
414,CHE,1997,NaN,58.751779,NaN,NaN,1687.5,54499.7575096301
415,CHE,1998,NaN,59.474725,NaN,NaN,1695.5,54714.4711634995
416,CHE,1999,NaN,59.260019,NaN,NaN,1717.4,55710.4514009569
417,CHE,2000,NaN,61.186261,NaN,NaN,1712.7,56529.4241834759
418,CHE,2001,NaN,62.591374,NaN,NaN,1672.8,59753.516054491
419,CHE,2002,NaN,62.956428,NaN,NaN,1651.3,60937.782235883
420,CHE,2003,NaN,62.648295,NaN,NaN,1664.5,60596.1085355411
421,CHE,2004,NaN,63.085764,NaN,NaN,1695.0,60147.4870583727
422,CHE,2005,NaN,64.622926,NaN,77.2,1690.0,61063.1580079413
423,CHE,2019,NaN,74.709028,NaN,80.475,1549.0,65905.7225341112
424,CHE,2020,NaN,75.747458,NaN,79.925,1495.0,64824.3810949184
425,GBR,1970,NaN,23.646949,NaN,NaN,1775.0,NaN
426,GBR,1971,NaN,25.191936,NaN,NaN,1740.0,NaN
427,GBR,1972,NaN,26.678707,NaN,NaN,1709.0,NaN
428,GBR,1973,NaN,27.153849,NaN,NaN,1761.0,NaN
429,GBR,1974,NaN,26.962457,NaN,NaN,1725.0,NaN
430,GBR,1975,NaN,26.744929,NaN,NaN,1720.0,NaN
431,GBR,1976,NaN,27.930369,NaN,NaN,1705.0,NaN
432,GBR,1977,NaN,28.895351,NaN,NaN,1687.0,NaN
433,GBR,1978,NaN,30.275363,NaN,NaN,1669.0,NaN
434,GBR,1979,NaN,31.222817,NaN,NaN,1662.0,NaN
435,GBR,1980,NaN,31.537425,NaN,NaN,1619.0,NaN
436,GBR,1981,NaN,33.419078,NaN,NaN,1567.0,NaN
437,GBR,1982,NaN,34.408328,NaN,NaN,1581.0,NaN
438,GBR,1983,NaN,36.228799,NaN,NaN,1568.0,NaN
439,GBR,1984,NaN,35.892383,NaN,NaN,1583.0,NaN
440,GBR,1985,NaN,36.305072,NaN,NaN,1613.0,NaN
441,GBR,1986,NaN,37.255577,NaN,NaN,1616.0,NaN
442,GBR,1987,NaN,38.631631,NaN,NaN,1606.0,NaN
443,GBR,1988,NaN,38.570571,NaN,NaN,1642.0,NaN
444,GBR,1989,NaN,38.730214,NaN,NaN,1631.0,NaN
445,GBR,1990,NaN,39.146779,NaN,NaN,1618.0,32675.3064228326
446,GBR,1991,NaN,39.942504,NaN,NaN,1615.0,32655.4427543598
447,GBR,1992,NaN,41.846252,NaN,NaN,1583.0,33306.0432126482
448,GBR,1993,NaN,43.37788,NaN,68.425,1577.0,33861.2255826436
449,GBR,1994,NaN,44.440523,NaN,68.925,1586.0,34466.7674894617
450,GBR,1995,NaN,45.062549,NaN,69.55,1586.0,34493.49204621
451,GBR,1996,NaN,45.728387,NaN,70.05,1586.0,34478.1705878335
452,GBR,1997,NaN,47.129354,NaN,71.0,1586.0,35830.1647083533
453,GBR,1998,NaN,48.246228,NaN,71.45,1582.0,36453.8173807945
454,GBR,1999,NaN,49.286009,NaN,72.025,1573.0,38445.6171282191
455,GBR,2000,NaN,50.994353,NaN,72.475,1558.0,40206.6024960548
456,GBR,2001,NaN,51.457704,NaN,72.6,1563.0,41898.2782726161
457,GBR,2020,NaN,61.470395,NaN,75.425,1367.0,47147.2016194233
458,USA,1970,NaN,33.708826,NaN,63.99263,1907.0,NaN
459,USA,1971,NaN,34.972937,NaN,63.17525,1894.0,NaN
460,USA,1972,NaN,35.823553,NaN,63.7738,1890.0,NaN
461,USA,1973,NaN,36.673833,NaN,64.85249,1891.0,NaN
462,USA,1974,NaN,36.342967,NaN,64.99554,1860.0,NaN
463,USA,1975,NaN,37.337947,NaN,63.08882,1839.0,NaN
464,USA,1976,NaN,38.242547,NaN,64.14752,1841.0,NaN
465,USA,1977,NaN,38.650575,NaN,65.39526,1844.0,NaN
466,USA,1978,NaN,38.956695,NaN,67.09882,1836.0,NaN
467,USA,1979,NaN,39.131168,NaN,67.91239,1834.0,NaN
468,USA,1980,NaN,39.139085,NaN,67.18594,1816.0,NaN
469,USA,1981,NaN,40.047014,NaN,67.07856,1812.0,NaN
470,USA,1982,NaN,39.918352,NaN,65.76852,1803.0,NaN
471,USA,1983,NaN,41.010658,NaN,66.00588,1822.0,NaN
472,USA,1984,NaN,41.86562,NaN,68.13399,1839.0,NaN
473,USA,1985,NaN,42.635509,NaN,69.00044,1838.0,NaN
474,USA,1986,NaN,43.599936,NaN,69.68153,1829.0,NaN
475,USA,1987,NaN,43.916782,NaN,70.74065,1839.0,NaN
476,USA,1988,NaN,44.424496,NaN,71.64634,1837.0,NaN
477,USA,1989,NaN,44.815883,NaN,72.4952,1848.0,NaN
478,USA,1990,NaN,45.583299,NaN,72.19167,1833.0,46974.593827949
479,USA,1991,NaN,46.180488,NaN,70.96761,1823.0,47293.4127192582
480,USA,1992,NaN,47.766894,NaN,70.80585,1822.0,48389.432518019
481,USA,1993,NaN,47.94876,NaN,71.20782,1828.0,48111.5691040974
482,USA,1994,NaN,48.354938,NaN,72.00175,1839.0,47926.5702979932
483,USA,1995,NaN,48.461331,NaN,72.5349,1839.0,48205.5663224452
484,USA,1996,NaN,49.666111,NaN,72.85875,1840.0,48904.4253957518
485,USA,1997,NaN,50.386032,NaN,73.50204,1843.0,50119.1140747133
486,USA,1998,NaN,51.519575,NaN,73.84345,1842.0,52182.1733087712
487,USA,1999,NaN,53.041436,NaN,73.94605,1839.0,53548.6332092189
488,USA,2000,NaN,54.498167,NaN,74.09456,1832.0,55365.7025952572
489,USA,2001,NaN,55.693841,NaN,73.13562,1811.0,55834.5992657734
490,USA,2002,NaN,57.234571,NaN,71.92931,1806.0,56274.6593658597
491,USA,2003,NaN,58.965218,NaN,71.22334,1796.0,56965.5637217267
492,USA,2004,NaN,60.508037,NaN,71.22248,1798.0,58023.4299368342
493,USA,2005,NaN,61.772075,NaN,71.53017,1794.0,58092.3516733398
494,USA,2006,NaN,62.356937,NaN,71.99708,1796.0,59013.8598788514
495,USA,2007,NaN,63.232583,NaN,71.78132,1795.0,60187.9847451486
496,USA,2008,NaN,64.042431,NaN,70.88825,1786.0,59986.2658883191
497,USA,2009,NaN,66.089234,NaN,67.62595,1761.0,60471.1085097494
498,USA,2010,NaN,67.835887,NaN,66.68977,1772.0,61047.8742268296
499,USA,2011,NaN,67.86187,NaN,66.64754,1778.0,61131.6800040717
500,USA,2012,NaN,68.118059,NaN,67.13661,1782.0,61634.2010319128
501,USA,2020,NaN,73.372162,NaN,67.06998,1767.0,69391.8064217965
502,CHL,1986,NaN,10.069454,NaN,NaN,2399.0,NaN
503,CHL,1987,NaN,10.315776,NaN,NaN,2405.0,NaN
504,CHL,1988,NaN,10.419699,NaN,NaN,2411.0,NaN
505,CHL,1989,NaN,10.912878,NaN,NaN,2416.0,NaN
506,CHL,1990,NaN,11.060251,NaN,NaN,2422.0,NaN
507,CHL,1991,NaN,11.752908,NaN,NaN,2419.0,NaN
508,CHL,1992,NaN,12.604096,NaN,NaN,2415.0,NaN
509,CHL,1993,NaN,12.876484,NaN,NaN,2389.0,NaN
510,CHL,1994,NaN,13.645014,NaN,NaN,2364.0,NaN
511,CHL,1995,NaN,15.083241,NaN,NaN,2338.0,NaN
512,CHL,1996,NaN,16.139833,NaN,NaN,2313.0,15947.6531726066
513,CHL,1997,NaN,17.390536,NaN,NaN,2256.0,17039.4942318056
514,CHL,1998,NaN,17.427867,NaN,NaN,2299.0,17813.6103766332
515,CHL,1999,NaN,17.730971,NaN,NaN,2277.0,18716.7646532695
516,CHL,2000,NaN,18.467844,NaN,NaN,2263.0,18685.7459505003
517,CHL,2001,NaN,19.038438,NaN,NaN,2242.0,19197.7264587794
518,CHL,2002,NaN,19.207287,NaN,NaN,2250.0,19364.7831714766
519,CHL,2003,NaN,19.368865,NaN,NaN,2235.0,19783.6389927631
520,CHL,2004,NaN,20.27626,NaN,NaN,2232.0,19247.3268867157
521,CHL,2005,NaN,21.35841,NaN,54.44468,2157.0,19034.1502799438
522,CHL,2006,NaN,22.238491,NaN,55.5009,2165.0,19548.2212029304
523,CHL,2007,NaN,23.095855,NaN,56.3303,2128.0,20097.9317417693
524,CHL,2008,NaN,23.604695,NaN,57.2645,2095.0,20665.4590878797
525,CHL,2010,NaN,22.829274,NaN,60.1041,2069.8,25245.5510961762
526,CHL,2012,NaN,24.354935,NaN,62.65226,2027.4,26201.0089427572
527,CHL,2014,NaN,25.294293,NaN,63.23605,1994.4,27099.1536590867
528,CHL,2016,NaN,25.852447,NaN,63.34484,1977.5,28252.1064199064
529,CHL,2018,NaN,26.535949,NaN,64.0955,1955.5,28573.7539263401
530,CHL,2019,NaN,26.790848,NaN,64.09287,1929.5,29578.9720728487
531,CHL,2020,NaN,30.42683,NaN,55.84916,1825.3,26728.9187554196
532,ISR,1981,NaN,25.39001,NaN,NaN,1966.0,NaN
533,ISR,1982,NaN,25.82947,NaN,NaN,1942.3,NaN
534,ISR,1983,NaN,25.970147,NaN,NaN,1929.1,NaN
535,ISR,1984,NaN,25.759185,NaN,NaN,1932.2,NaN
536,ISR,1985,NaN,26.639233,NaN,NaN,1932.1,NaN
537,ISR,1986,NaN,27.363131,NaN,NaN,1927.0,NaN
538,ISR,1987,NaN,28.497488,NaN,NaN,1921.2,NaN
539,ISR,1988,NaN,29.032001,NaN,NaN,1878.1,NaN
540,ISR,1989,NaN,28.662106,NaN,NaN,1909.1,NaN
541,ISR,1990,NaN,30.147089,NaN,NaN,1904.0,NaN
542,ISR,1991,NaN,30.898074,NaN,NaN,1897.3,NaN
543,ISR,1992,NaN,30.721755,NaN,NaN,1951.2,NaN
544,ISR,1993,NaN,30.518974,NaN,NaN,1953.0,NaN
545,ISR,1994,NaN,30.103571,NaN,NaN,1993.1,NaN
546,ISR,1995,NaN,29.798146,NaN,56.51433,2013.8,29598.3519490755
547,ISR,1996,NaN,30.086619,NaN,56.36247,2031.0,32153.6498871359
548,ISR,1997,NaN,30.416938,NaN,55.70263,2036.3,33082.7868623949
549,ISR,1998,NaN,31.275085,NaN,55.23224,2011.9,34404.3440126635
550,ISR,1999,NaN,31.242432,NaN,55.46907,2021.09,34973.8595209323
551,ISR,2000,NaN,32.523907,NaN,56.07549,2032.9,36276.2031406002
552,ISR,2001,NaN,32.821269,NaN,55.56511,1996.1,36894.4161928477
553,ISR,2002,NaN,32.220693,NaN,54.80782,2014.3,35482.8621693295
554,ISR,2003,NaN,32.519022,NaN,54.97932,1997.5,34274.6151715204
555,ISR,2004,NaN,34.010579,NaN,55.6702,1975.0,33722.4417464503
556,ISR,2005,NaN,34.416048,NaN,56.70815,1966.4,33774.2303634152
557,ISR,2006,NaN,35.681847,NaN,57.55732,1955.0,34734.2701093157
558,ISR,2007,NaN,36.079381,NaN,58.94432,1966.5,35384.0373621652
559,ISR,2008,NaN,36.12775,NaN,59.82737,1963.3,34490.6946374104
560,ISR,2009,NaN,35.809679,NaN,59.21324,1962.5,33716.6288503397
561,ISR,2010,NaN,36.852622,NaN,60.1636,1956.5,33454.8881677654
562,ISR,2019,NaN,43.185969,NaN,68.94167,1898.1,39537.252010571
563,ISR,2020,NaN,45.850704,NaN,66.78333,1782.5,39321.7103925356
564,AUS,2021,NaN,NaN,NaN,74.97211,NaN,NaN
565,CAN,2021,NaN,NaN,NaN,73.23333,NaN,NaN
566,ISL,2021,NaN,NaN,NaN,79.75,NaN,NaN
567,KOR,2021,NaN,NaN,NaN,66.52686,NaN,NaN
568,MEX,2021,NaN,NaN,NaN,61.03192,NaN,NaN
569,NZL,2021,NaN,NaN,NaN,78.33634,NaN,NaN
570,NOR,2021,NaN,NaN,NaN,76.3,NaN,NaN
571,GBR,2021,NaN,NaN,NaN,75.2,NaN,NaN
572,USA,1955,NaN,NaN,NaN,61.46822,2003.0,NaN
573,USA,1956,NaN,NaN,NaN,62.4337,2002.0,NaN
574,USA,1957,NaN,NaN,NaN,62.20108,1973.0,NaN
575,USA,1958,NaN,NaN,NaN,60.5542,1947.0,NaN
576,USA,1959,NaN,NaN,NaN,61.39219,1958.0,NaN
577,USA,1960,NaN,NaN,NaN,61.52728,1952.0,NaN
578,USA,1961,NaN,NaN,NaN,60.87849,1941.0,NaN
579,USA,1962,NaN,NaN,NaN,61.47677,1960.0,NaN
580,USA,1963,NaN,NaN,NaN,61.48097,1972.0,NaN
581,USA,1964,NaN,NaN,NaN,61.79631,1975.0,NaN
582,USA,1965,NaN,NaN,NaN,62.41243,1984.0,NaN
583,USA,1966,NaN,NaN,NaN,63.37987,1974.0,NaN
584,USA,1967,NaN,NaN,NaN,63.80169,1951.0,NaN
585,USA,1968,NaN,NaN,NaN,64.08068,1940.0,NaN
586,USA,1969,NaN,NaN,NaN,64.61467,1938.0,NaN
587,USA,2021,NaN,NaN,NaN,69.40365,NaN,NaN
588,CHL,2021,NaN,NaN,NaN,58.47194,NaN,NaN
589,ISR,2021,NaN,NaN,NaN,66.6,NaN,NaN
590,CAN,1961,NaN,NaN,NaN,NaN,2059.0,NaN
591,CAN,1962,NaN,NaN,NaN,NaN,2058.0,NaN
592,CAN,1963,NaN,NaN,NaN,NaN,2041.0,NaN
593,CAN,1964,NaN,NaN,NaN,NaN,2033.0,NaN
594,CAN,1965,NaN,NaN,NaN,NaN,2016.0,NaN
595,CAN,1966,NaN,NaN,NaN,NaN,2001.0,NaN
596,CAN,1967,NaN,NaN,NaN,NaN,1993.0,NaN
597,CAN,1968,NaN,NaN,NaN,NaN,1958.0,NaN
598,CAN,1969,NaN,NaN,NaN,NaN,1943.0,NaN
599,NOR,1962,NaN,NaN,NaN,NaN,1995.0,NaN
600,NOR,1963,NaN,NaN,NaN,NaN,1986.0,NaN
601,NOR,1964,NaN,NaN,NaN,NaN,1996.0,NaN
602,NOR,1965,NaN,NaN,NaN,NaN,1951.0,NaN
603,NOR,1966,NaN,NaN,NaN,NaN,1952.0,NaN
604,NOR,1967,NaN,NaN,NaN,NaN,1936.0,NaN
605,NOR,1968,NaN,NaN,NaN,NaN,1897.0,NaN
606,NOR,1969,NaN,NaN,NaN,NaN,1849.0,NaN
607,USA,1950,NaN,NaN,NaN,NaN,1968.0,NaN
608,USA,1951,NaN,NaN,NaN,NaN,1987.0,NaN
609,USA,1952,NaN,NaN,NaN,NaN,1988.0,NaN
610,USA,1953,NaN,NaN,NaN,NaN,1993.0,NaN
611,USA,1954,NaN,NaN,NaN,NaN,1984.0,NaN
612,MEX,1990,NaN,NaN,NaN,NaN,NaN,14454.6887177481
